tweet_id,customer_text,true_intent,pred_intent,intent_confidence,decision,escalation_reason,draft_reply,judge_correctness,judge_groundedness,judge_hallucinated,judge_reasoning
2503737,"nah mate, phones going proper slow and itâ€™s pissing me right off. @115858 get ur shit together",software_issue,complaint_feedback,high,ESCALATE_TO_HUMAN,"The customer is expressing strong frustration and reporting a performance issue (slowness). The provided historical evidence does not contain specific troubleshooting steps for device slowness or performance degradation, only for app crashes, order tracking, and agent rudeness. Therefore, a generic polite message is required, and the case should be escalated to a human agent for proper diagnosis.",We are sorry to hear about the performance issues you are experiencing. Please allow our team to investigate this further.,0,0,False,SKIPPED to avoid API rate limits
1022571,One of the stranger features of the new @115858 #iPhone update is that it crashes whenever you try to crop a photo. Hoping it will grow on me,software_issue,software_issue,high,ESCALATE_TO_HUMAN,"The customer is reporting a specific software bug (crash when cropping photos) in an iOS update. The provided historical evidence only covers generic app reinstall advice, website errors, and agent behavior, which are not applicable to this specific iOS system-level bug. Therefore, the issue requires human escalation to a technical specialist.",We are sorry to hear about the issue you are experiencing. Please contact our support team for further assistance.,0,0,False,SKIPPED to avoid API rate limits
247073,What the HEY! .@115858 .@AppleSupport went for my morning walk and canâ€™t listen to my DLed podcasts and music w/out an internet connection? ðŸ‘Ž,other,software_issue,high,ESCALATE_TO_HUMAN,"The customer is expressing frustration about a specific technical issue (offline media playback) that is not covered by the provided historical evidence, requiring human intervention to diagnose.",We are sorry to hear about the trouble with your media. A supervisor will DM you.,0,0,False,SKIPPED to avoid API rate limits
2021094,@AppleSupport guys the iOS 11 is shit nothing works well neither the keyboard nor speaker come on do something what a shame.,software_issue,software_issue,high,ESCALATE_TO_HUMAN,"The customer reports multiple critical hardware/software failures (keyboard, speaker) on a specific OS version. The provided historical evidence only covers app crashes, agent behavior, and order tracking, offering no relevant troubleshooting steps for system-wide iOS issues or hardware malfunctions.",We are sorry to hear about the issues you are experiencing with iOS 11. Please allow our team to investigate further.,0,0,False,SKIPPED to avoid API rate limits
560459,"@AppleSupport if my lightning port on my iPhone is broken/ buggy, as in a new charging cord only giving power to my phone in a certain position. Does that get covered by Apple care? Getting pretty annoyed with tedious tinkering to get a charge.",hardware_issue,hardware_issue,high,ESCALATE_TO_HUMAN,Business Rule: hardware_issue requires manual verification or physical diagnosis.,"We are sorry to hear about the trouble with your iPhone's charging port. Since this involves a specific hardware issue and warranty coverage inquiry, please allow our specialist team to assist you further.",0,0,False,SKIPPED to avoid API rate limits
1929028,"Battery life realy short down 50% at least per day, have shut off many features.  Still poor battery life @applesupport 11.0.3 battery",software_issue,hardware_issue,high,ESCALATE_TO_HUMAN,Business Rule: hardware_issue requires manual verification or physical diagnosis.,We are sorry to hear about the battery issues you are experiencing. A specialist will review your device details and assist you further.,0,0,False,SKIPPED to avoid API rate limits
1467476,why am Iï¸ still seeing boxes with question marks in them?! @115858 fix this ðŸ—£,software_issue,software_issue,high,ESCALATE_TO_HUMAN,"The customer is reporting a specific UI rendering bug (question mark boxes) which is not covered by the provided historical evidence (app crashes, order tracking, website 500 errors). No specific troubleshooting steps for this issue are available in the evidence.",We are sorry to hear you are experiencing this issue. Our team is looking into it.,0,0,False,SKIPPED to avoid API rate limits
2044948,Yo @AppleSupport why do your gift cards say â€œAdd to the Wallet appâ€ when you actually canâ€™t? https://t.co/guYRD0PrdJ,other,software_issue,high,ESCALATE_TO_HUMAN,"The customer is reporting a specific discrepancy between the physical gift card instructions and the actual functionality of the Wallet app. The provided historical evidence does not contain any troubleshooting steps, policy information, or precedents regarding gift card instructions or Wallet app integration. Therefore, it is not possible to draft a grounded reply based strictly on the provided evidence.",We are sorry to hear about the issue with the gift card instructions. Please allow us to investigate this further.,0,0,False,SKIPPED to avoid API rate limits
2917313,"I restored my iPhone and my iMessage is still not working and now I have 0 followers on Twitter, thanks @AppleSupport",software_issue,software_issue,high,ESCALATE_TO_HUMAN,"The customer reports a persistent iMessage failure after a restore and includes negative feedback. The provided historical evidence does not contain specific troubleshooting steps for iMessage or device restoration issues, only generic examples for password resets, agent conduct, and app crashes. Therefore, a grounded technical reply cannot be drafted.",We are sorry to hear about the issues you are experiencing. Please contact our support team for further assistance.,0,0,False,SKIPPED to avoid API rate limits
2419006,"Dear @115858, can you please not mess up my phone ? Iâ€™m a broke college student &amp; cant afford a new one .",other,complaint_feedback,high,ESCALATE_TO_HUMAN,"The customer expresses strong dissatisfaction and financial vulnerability regarding a potential device issue, which requires human empathy and manual investigation rather than automated troubleshooting.",We are sorry to hear about your concerns. A supervisor will DM you.,0,0,False,SKIPPED to avoid API rate limits
