split,conversation_id,tweet_id,brand,created_at,customer_text,keyword_hint,intent,labeler,notes,is_gold
train,2978127,2978127,DropboxSupport,2017-11-16 14:34:40+00:00,@118189 Hey kids! Explain to me why I can never see file size when someone sends me a shared folder of content? Name/Modified/SIZE!!!,other,,,,False
train,1799798,1799798,DropboxSupport,2017-10-12 17:08:22+00:00,@dropboxsupport none of your contact forms are working please advise,other,,,,False
train,987312,987312,DropboxSupport,2017-10-10 21:35:35+00:00,@DropboxSupport How do I stop the pop-up notifications on my computer? I only see the options to change email notifications.,product_info,,,,False
train,1667072,1667072,DropboxSupport,2017-11-04 17:46:13+00:00,"@118189 #suggestion In Android app would be grateful a basic integrated image editor (just crop, rotate and a bit more). Very useful.",other,,,,False
train,2542762,2542762,DropboxSupport,2017-11-16 03:11:40+00:00,"@DropboxSupport Hey guys what's going on with Smart Sync? I have v40.3.43. Finder shows full storage space local even when all files show ""online only""",other,,,,False
train,1979826,1979826,DropboxSupport,2017-10-31 14:35:50+00:00,@DropboxSupport I live in Malaysia and I want to upgrade my DB acc. But you don't seem to have the cloud size that I need-500GB or 250GB How,other,,,,False
train,1693261,1693261,DropboxSupport,2017-11-04 16:57:34+00:00,@DropboxSupport why haven't you answered my message &amp; tweet? Disappointed,complaint_feedback,,,,False
train,1062910,1062910,DropboxSupport,2017-10-22 02:53:22+00:00,"@118189 Please lose the pink background on your logo - it looks awful. While you’re there, swap the iOS back to blue on white. Thanks.",other,,,,False
train,2609736,2609736,DropboxSupport,2017-11-16 14:51:48+00:00,@DropboxSupport Hundreds of files deleted. Need help restoring. Our entire business is threatened by this. Is there some way to reach you by TELEPHONE??? I hate twitter and would like to SPEAK to someone. PLEASE.,escalation_human,,,,False
train,1900227,1900227,DropboxSupport,2017-10-22 15:07:50+00:00,@DropboxSupport put the Darn green check mark back when syncing is complete- a white DB icon is not informative. #don'tfixwhatisn'tbroken,technical_issue,,,,False
train,89002,89002,DropboxSupport,2017-11-29 20:46:30+00:00,"@DropboxSupport hi there. Was using Dropbox iOS app to write a text file today. Took a call, went back to app but file not there. Any ideas would be appreciated, was quite a length doc. Thanks.",other,,,,False
train,103956,103956,DropboxSupport,2017-11-30 14:28:49+00:00,"@DropboxSupport Hi, I formtted one of ,my client's PC and she doesn't remember the login or email she used for dropbox, she has all of her companies data in that account, please how can we recover her account? IP maybe? Thanks!",account_access,,,,False
train,1099453,1099453,DropboxSupport,2017-10-15 12:12:03+00:00,A shitty way to start my week thanks to @118189 👎🏼😭😭😭,other,,,,False
train,1958701,1958701,DropboxSupport,2017-10-22 14:04:06+00:00,@118189 beware giving this company payment details as their systems’ not secure. Being done through fraud twice &amp; offered no compensation,billing_payment,,,,False
train,1763311,1763311,DropboxSupport,2017-10-17 20:44:36+00:00,What's up @118189 ? https://t.co/vdan6AlQ8h,other,,,,False
train,1980150,1980150,DropboxSupport,2017-10-26 12:45:17+00:00,@116029 AUTOMATING SENDING FILES TO THE CLOUD WITHOUT QUESTIONS,other,,,,False
train,2092447,2092447,DropboxSupport,2017-11-06 16:35:47+00:00,@DropboxSupport I was billed for a year subscription on my credit card for a booster club for whom I am no longer an authorized member.,billing_payment,,,,False
train,244341,244341,DropboxSupport,2017-10-05 12:09:04+00:00,@116029 how do I speak to one of you on a phone? You just overcharged me by £600 and I'd like it solved ASAP. Don't say 'email us',escalation_human,,,,False
train,2124220,2124220,DropboxSupport,2017-11-06 22:46:59+00:00,@118189 Hi. I'd like to write an email about my experience of Smart Sync and why it's not worth the money. Who can I send this to please?,other,,,,False
train,2043076,2043076,DropboxSupport,2017-10-03 18:06:58+00:00,Is it a common practice to only use @118189 “in the cloud” and not have a local Dropbox folder? Just ran into that sit. w/a client 3rd time,other,,,,False
