split,conversation_id,tweet_id,brand,created_at,customer_text,keyword_hint,intent,labeler,notes,is_gold
train,2503737,2503737,AppleSupport,2017-11-15 19:58:59+00:00,"nah mate, phones going proper slow and itâ€™s pissing me right off. @115858 get ur shit together",software_issue,software_issue,Aryan,,False
train,1022571,1022571,AppleSupport,2017-10-22 22:39:32+00:00,One of the stranger features of the new @115858 #iPhone update is that it crashes whenever you try to crop a photo. Hoping it will grow on me,software_issue,software_issue,Aryan,,False
train,247073,247073,AppleSupport,2017-10-05 14:58:04+00:00,What the HEY! .@115858 .@AppleSupport went for my morning walk and canâ€™t listen to my DLed podcasts and music w/out an internet connection? ðŸ‘Ž,other,other,Aryan,the message is incomplete and we cant come to a final decision without knowing the problem completely ,False
train,2021094,2021094,AppleSupport,2017-11-06 00:44:30+00:00,@AppleSupport guys the iOS 11 is shit nothing works well neither the keyboard nor speaker come on do something what a shame.,software_issue,software_issue,Aryan,,False
train,560459,560459,AppleSupport,2017-12-02 21:59:24+00:00,"@AppleSupport if my lightning port on my iPhone is broken/ buggy, as in a new charging cord only giving power to my phone in a certain position. Does that get covered by Apple care? Getting pretty annoyed with tedious tinkering to get a charge.",software_issue,hardware_issue,Aryan,according to the customers complaint it sounds like a hardware_issue with chargingport,False
train,1929028,1929028,AppleSupport,2017-10-26 20:17:39+00:00,"Battery life realy short down 50% at least per day, have shut off many features.  Still poor battery life @applesupport 11.0.3 battery",software_issue,software_issue,Aryan,,False
train,1467476,1467476,AppleSupport,2017-11-02 17:39:44+00:00,why am Iï¸ still seeing boxes with question marks in them?! @115858 fix this ðŸ—£,other,software_issue,Aryan,the customer says something else but the actual message describes a rendering problem,False
train,2044948,2044948,AppleSupport,2017-10-18 22:52:07+00:00,Yo @AppleSupport why do your gift cards say â€œAdd to the Wallet appâ€ when you actually canâ€™t? https://t.co/guYRD0PrdJ,other,other,Aryan,"it looks like truncate issue, we cant classify it as account or billing issue",False
train,2917313,2917313,AppleSupport,2017-11-28 23:51:46+00:00,"I restored my iPhone and my iMessage is still not working and now I have 0 followers on Twitter, thanks @AppleSupport",other,software_issue,Aryan,as the customer says he cant able to restore his past messages soo this makes an error with software,False
train,2419006,2419006,AppleSupport,2017-10-29 03:23:13+00:00,"Dear @115858, can you please not mess up my phone ? Iâ€™m a broke college student &amp; cant afford a new one .",other,other,Aryan,customer didn’t specify the issue  he is facing soo we cant make a decision for the given subject,False
train,2641005,2641005,AppleSupport,2017-11-17 21:02:09+00:00,@115858 so I update my phone and because Iâ€™m in Spain I canâ€™t get to reset my password ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡,software_issue,account_and_billing,Aryan,customer says he cant able to reset the password soo it comes under account_issue not and software,False
train,2078855,2078855,AppleSupport,2017-10-09 15:23:46+00:00,My phone was literally just on 100% and now itâ€™s on 18% yâ€™all want me to get that 8 that bad huh @115858 ðŸ˜’,other,software_issue,Aryan,maybe the software version is the reason with customers battery drain issues,False
